Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1196;MEDP;Medpace Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58506Q1094;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;Medpace Holdings, Inc.;НЕТ;Эмитенты с листингом в США
1197;MEI;Methode Electronics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5915202007;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;Methode Electronics, Inc.;НЕТ;Эмитенты с листингом в США
1198;MELI;MercadoLibre, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58733R1023;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;MercadoLibre, Inc.;НЕТ;Эмитенты с листингом в США
1199;MET;MetLife, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US59156R1086;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;;MetLife, Inc.;НЕТ;Эмитенты с листингом в США
1200;META;Meta Platforms, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US30303M1027;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;;Meta Platforms, Inc.;НЕТ;Эмитенты с листингом в США
1201;METC;Ramaco Resources, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US75134P3038;ESVUFR;1,00;0,01;USD;03.10.2022 0:00:00;;Ramaco Resources, Inc.;НЕТ;Эмитенты с листингом в США
1202;MGA;Magna International Inc.;Акции;Акции иностранного эмитента обыкновенные;;CA5592224011;ESVUFR;1,00;0,01;USD;17.09.2021 0:00:00;;Magna International Inc.;НЕТ;Эмитенты с листингом в США
1203;MGK;Vanguard World Fund;Акции;Акции иностранного биржевого инвестиционного фонда Vanguard Mega Cap Growth ETF;;US9219108167;CEOILS;1,00;0,01;USD;11.11.2022 0:00:00;True;Vanguard World Fund;ДА;Эмитенты с листингом в США
1204;MGM;MGM Resorts International;Акции;Акции иностранного эмитента обыкновенные;;US5529531015;ESVUFR;1,00;0,01;USD;16.12.2020 0:00:00;;MGM Resorts International;НЕТ;Эмитенты с листингом в США
1205;MGPI;MGP Ingredients, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55303J1060;ESVUFR;1,00;0,01;USD;28.01.2022 0:00:00;;MGP Ingredients, Inc.;НЕТ;Эмитенты с листингом в США
1206;MGRC;McGrath RentCorp;Акции;Акции иностранного эмитента обыкновенные;;US5805891091;ESXXXX;1,00;0,01;USD;29.07.2020 0:00:00;;McGrath RentCorp;НЕТ;Эмитенты с листингом в США
1207;MGY;Magnolia Oil & Gas Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US5596631094;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;Magnolia Oil & Gas Corporation;НЕТ;Эмитенты с листингом в США
1208;MHK;Mohawk Industries, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6081901042;ESVUXR;1,00;0,01;USD;14.06.2017 0:00:00;;Mohawk Industries, Inc.;НЕТ;Эмитенты с листингом в США
1209;MHO;M/I Homes, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55305B1017;ESVXXR;1,00;0,01;USD;31.10.2019 0:00:00;;M/I Homes, Inc.;НЕТ;Эмитенты с листингом в США
1210;MIDD;The Middleby Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5962781010;ESVUXX;1,00;0,01;USD;31.01.2019 0:00:00;;The Middleby Corporation;НЕТ;Эмитенты с листингом в США
1211;MKC;McCormick & Company, Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US5797802064;ESNUFR;1,00;0,01;USD;14.06.2017 0:00:00;;McCormick & Company, Incorporated;НЕТ;Эмитенты с листингом в США
1212;MKL;Markel Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5705351048;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;Markel Corporation;НЕТ;Эмитенты с листингом в США
1213;MKSI;MKS Instruments, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55306N1046;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;MKS Instruments, Inc.;НЕТ;Эмитенты с листингом в США
1214;MKTX;MarketAxess Holdings Inc.;Акции;Акции иностранного эмитента обыкновенные;;US57060D1081;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;MarketAxess Holdings Inc.;НЕТ;Эмитенты с листингом в США
1215;MLAB;Mesa Laboratories, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US59064R1095;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;Mesa Laboratories, Inc.;НЕТ;Эмитенты с листингом в США
1216;MLKN;MillerKnoll, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6005441000;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;MillerKnoll, Inc.;НЕТ;Эмитенты с листингом в США
1217;MLM;Martin Marietta Materials, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5732841060;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;Martin Marietta Materials, Inc.;НЕТ;Эмитенты с листингом в США
1218;MLNK;MeridianLink, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58985J1051;ESVUFR;1,00;0,01;USD;03.10.2022 0:00:00;;MeridianLink, Inc.;НЕТ;Эмитенты с листингом в США
1219;MMC;Marsh & McLennan Companies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5717481023;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;Marsh & McLennan Companies, Inc.;НЕТ;Эмитенты с листингом в США
1220;MMI;Marcus & Millichap, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5663241090;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;Marcus & Millichap, Inc.;НЕТ;Эмитенты с листингом в США
1221;MMM;3M Company;Акции;Акции иностранного эмитента обыкновенные;;US88579Y1010;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;3M Company;НЕТ;Эмитенты с листингом в США
1222;MMS;MAXIMUS, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5779331041;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;MAXIMUS, Inc.;НЕТ;Эмитенты с листингом в США
1223;MMSI;Merit Medical Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5898891040;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;Merit Medical Systems, Inc.;НЕТ;Эмитенты с листингом в США
1224;MNDY;monday.com Ltd.;Акции;Акции иностранного эмитента обыкновенные;;IL0011762130;ESVUFR;1,00;0,01;USD;10.11.2021 0:00:00;;monday.com Ltd.;НЕТ;Эмитенты с листингом в США
1225;MNRO;Monro, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6102361010;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;Monro, Inc.;НЕТ;Эмитенты с листингом в США
1226;MNST;Monster Beverage Corporation;Акции;Акции иностранного эмитента обыкновенные;;US61174X1090;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00;;Monster Beverage Corporation;НЕТ;Эмитенты с листингом в США
1227;MO;Altria Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02209S1033;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Altria Group, Inc.;НЕТ;Эмитенты с листингом в США
1228;MODG;Topgolf Callaway Brands Corp.;Акции;Акции иностранного эмитента обыкновенные;;US1311931042;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;Topgolf Callaway Brands Corp.;НЕТ;Эмитенты с листингом в США
1229;MODV;ModivCare Inc.;Акции;Акции иностранного эмитента обыкновенные;;US60783X1046;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;ModivCare Inc.;НЕТ;Эмитенты с листингом в США
1230;MOH;Molina Healthcare, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US60855R1005;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;Molina Healthcare, Inc.;НЕТ;Эмитенты с листингом в США
1231;MORN;Morningstar, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6177001095;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;Morningstar, Inc.;НЕТ;Эмитенты с листингом в США
1232;MOS;The Mosaic Company;Акции;Акции иностранного эмитента обыкновенные;;US61945C1036;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;The Mosaic Company;НЕТ;Эмитенты с листингом в США
1233;MOV;Movado Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6245801062;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;Movado Group, Inc.;НЕТ;Эмитенты с листингом в США
1234;MP;MP Materials Corp.;Акции;Акции иностранного эмитента обыкновенные класса A;;US5533681012;ESVUFR;1,00;0,01;USD;26.10.2021 0:00:00;;MP Materials Corp.;НЕТ;Эмитенты с листингом в США
1235;MPC;Marathon Petroleum Corporation;Акции;Акции иностранного эмитента обыкновенные;;US56585A1025;ESVTFR;1,00;0,01;USD;01.06.2017 0:00:00;;Marathon Petroleum Corporation;НЕТ;Эмитенты с листингом в США
1236;MPW;Medical Properties Trust, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58463J3041;ESVUFR;1,00;0,01;USD;26.10.2021 0:00:00;;Medical Properties Trust, Inc.;НЕТ;Эмитенты с листингом в США
1237;MPWR;Monolithic Power Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6098391054;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;Monolithic Power Systems, Inc.;НЕТ;Эмитенты с листингом в США
1238;MQ;Marqeta, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US57142B1044;ESVUFR;1,00;0,01;USD;09.06.2021 0:00:00;;Marqeta, Inc.;НЕТ;Эмитенты с листингом в США
1239;MRC;MRC Global Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55345K1034;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;MRC Global Inc.;НЕТ;Эмитенты с листингом в США
1240;MRK;Merck & Co., Inc.;Акции;Акции иностранного эмитента обыкновенные;;US58933Y1055;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Merck & Co., Inc.;НЕТ;Эмитенты с листингом в США
1241;MRK@DE;MERCK Kommanditgesellschaft auf Aktien;Акции;Акции иностранного эмитента обыкновенные;;DE0006599905;ESVUFB;1,00;0,01;EUR;21.08.2020 0:00:00;;MERCK Kommanditgesellschaft auf Aktien;НЕТ;Эмитенты с листингом в ФРГ
1242;MRNA;Moderna, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US60770K1079;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;Moderna, Inc.;НЕТ;Эмитенты с листингом в США
1243;MRO;Marathon Oil Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5658491064;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Marathon Oil Corporation;НЕТ;Эмитенты с листингом в США
1244;MRTX;Mirati Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US60468T1051;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;Mirati Therapeutics, Inc.;НЕТ;Эмитенты с листингом в США
